,City,Purchase Power,Health Care,Pollution,QoL_H,Crime Rating,Unesco,lat,lng,Country
68,Glasgow,91.98549198549199,92.79914814321842,0.0,84.21409725873178,65.6600748262961,27.27272727272727,55.864237,-4.251806,United Kingdom
69,London,54.74435474435474,64.82097697324637,62.70287816489938,65.91988577286122,52.48530197755211,54.54545454545454,51.5073509,-0.12775830000000002,United Kingdom
70,Birmingham,46.83514683514683,72.40782643418076,71.98658299069466,81.59331330248747,48.97113842864778,0.0,33.5185892,-86.8103567,United Kingdom
71,Nottingham,55.21235521235521,78.26434180753361,26.55269422202986,81.86678641096515,44.78888295029396,27.27272727272727,52.95478319999999,-1.1581086,United Kingdom
72,Bristol,39.054639054639054,90.58964461599895,39.19065137416143,77.32599333895055,42.557455905932656,0.0,36.5951059,-82.18874439999998,United Kingdom
73,Belfast,54.31145431145431,16.637827765206975,31.638173555507464,84.52745186219578,30.999465526456444,9.090909090909092,54.59728500000001,-5.93012,United Kingdom
74,Brighton,51.69065169065169,49.91348329562093,54.37134819303181,74.31209178926962,29.74345269909139,0.0,36.063773700000006,-95.8818853,United Kingdom
75,Edinburgh,61.296361296361304,52.98815386663118,15.083315299718675,81.38251111470261,26.256012827365048,27.27272727272727,55.953252,-3.1882669999999997,United Kingdom
76,Leeds,67.27506727506729,80.72674031678424,19.995671932482146,83.10881011196787,24.11811865312667,36.36363636363637,53.8007554,-1.5490774,United Kingdom
77,Liverpool,55.458055458055455,82.5635565020631,59.88963427829474,86.00306717668985,23.83752004275788,0.0,32.6564981,-115.47632409999999,United Kingdom
78,Aberdeen,50.68445068445069,82.5635565020631,37.1239991343865,82.37385113293413,17.851416354890432,0.0,57.149717,-2.094278,United Kingdom
79,Leicester,76.63507663507664,52.98815386663118,19.519584505518285,82.0434044601903,17.851416354890432,27.27272727272727,52.63687779999999,-1.1397591999999999,United Kingdom
80,Oxford,51.42155142155141,60.388659656595244,12.421553776238909,79.7074883252769,17.851416354890432,63.63636363636363,51.7520209,-1.2577263,United Kingdom
81,Cambridge,56.6046566046566,80.72674031678424,61.869725167712616,78.86427957413743,17.851416354890432,0.0,42.373615799999996,-71.10973349999998,United Kingdom
82,Manchester,65.43816543816544,54.02635431918009,0.0,80.22594776009915,17.824692677712452,63.63636363636363,53.4807593,-2.2426305,United Kingdom
83,Buenos Aires,26.8047268047268,77.652069745774,51.13611772343648,49.993560030892695,64.93853554249065,9.090909090909092,-34.6036844,-58.381559100000004,Argentina
84,Dhaka,17.47981747981748,0.0,67.23652888985067,15.971904593381499,64.40406199893106,0.0,23.810332,90.4125181,Bangladesh
85,Athens,23.013923013923016,33.64834287235459,29.690543172473493,35.41436297034001,62.30625334045965,36.36363636363637,37.9838096,23.7275388,Greece
86,Thessaloniki,21.29402129402129,54.718487954212705,37.45942436702012,42.84371575064994,41.127739176910744,18.181818181818183,40.6400629,22.9444191,Greece
87,Saint Petersburg,21.574821574821577,33.9544789032344,84.37567626054967,37.00988361582426,61.598075895243184,9.090909090909092,59.931058400000005,30.360909600000003,Russia
88,Moscow,21.71522171522172,28.577132969519496,32.49296689028348,32.83941871153984,56.560662747194016,36.36363636363637,55.755826,37.6172999,Russia
